"Status","Year","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","120","120","32130","30130"
"In post","2023","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","10","10","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Other","205","190","70340","67430"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","110","100","64660","59230"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","30","30","56990","55950"
"In post","2023","Analysis","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","170","170","41670","34910"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","50","45","37650","39670"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","15","15","30540","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","10","10","48010","50240"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","10","10","54420","59370"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","50","50","45460","41880"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","70","70","52420","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","25","25","45020","39040"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Policy","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","25","25","49480","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","15","15","46390","39960"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Economics","85","85","50030","46600"
"In post","2023","Analysis","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","95","90","47450","46600"
"In post","2023","Analysis","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","135","130","47050","45610"
"In post","2023","Analysis","Department for Education","Statistics","265","255","44550","43250"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","45","40","32040","30320"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","45","40","37820","31050"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","450","435","35610","30820"
"In post","2023","Analysis","Department for International Trade","Economics","135","135","49890","55370"
"In post","2023","Analysis","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","15","15","42690","35910"
"In post","2023","Analysis","Department for International Trade","Policy","10","10","51940","47270"
"In post","2023","Analysis","Department for International Trade","Social Research","30","30","46780","41730"
"In post","2023","Analysis","Department for International Trade","Statistics","55","55","48140","45910"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","15","15","45510","41560"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","60","55","49680","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Social Research","35","35","51790","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","160","155","46590","44180"
"In post","2023","Analysis","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Economics","170","165","51080","55740"
"In post","2023","Analysis","Department for Transport","Operational Research","70","70","35860","33640"
"In post","2023","Analysis","Department for Transport","Other","35","35","53330","55740"
"In post","2023","Analysis","Department for Transport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Social Research","50","50","52400","55190"
"In post","2023","Analysis","Department for Transport","Statistics","80","75","45090","43750"
"In post","2023","Analysis","Department for Transport","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Economics","45","45","48430","43760"
"In post","2023","Analysis","Department for Work and Pensions","Knowledge and Information Management","15","15","37550","34170"
"In post","2023","Analysis","Department for Work and Pensions","Operational Delivery","30","25","33970","34170"
"In post","2023","Analysis","Department for Work and Pensions","Operational Research","25","20","47830","43880"
"In post","2023","Analysis","Department for Work and Pensions","Other","50","45","39260","34170"
"In post","2023","Analysis","Department for Work and Pensions","Policy","200","190","47340","42720"
"In post","2023","Analysis","Department for Work and Pensions","Project Delivery","10","10","37260","35700"
