"Status","Year","Organisation","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","75","65","36360","33520"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","Unknown","45","45","29280","24890"
"In post","2023","Accountant in Bankruptcy","Scotland","Glasgow City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Westminster","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","London","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","East Sussex CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","East Sussex CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","East Sussex CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","Swansea","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","Swansea","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","Unknown","5","5","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","Unknown","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","North Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","North Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","Heterosexual / straight","55","50","32300","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","LGBO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","Undeclared","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","Unknown","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Thurrock","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Thurrock","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","Heterosexual / straight","120","115","44430","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","LGBO","10","10","[c]","[c]"
