"Status","Year","Organisation","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","SEO","10","10","47530","49860"
"In post","2023","Active Travel England","Department for Transport","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","SEO","[c]","[c]","[c]","[c]"
