"Status","Year","Disability","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Chancellor's other departments","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Chancellor's other departments","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education","Female","35","30","44770","43860"
"In post","2023","Declared disabled","Analysis","Department for Education","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport","Female","15","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
