"Status","Year","Age","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Darlington","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Monmouthshire and Newport","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Sheffield","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Westminster","15","15","28020","28510"
"In post","2023","16-19","Analysis","Wiltshire","10","10","22970","23340"
"In post","2023","16-19","Analysis","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Sunderland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Bradford","15","15","22430","22520"
"In post","2023","16-19","Debt","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","South Lanarkshire","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Manchester","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Plymouth","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Bath and North East Somerset, North Somerset and South Gloucestershire","15","15","19540","19460"
"In post","2023","16-19","Finance","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Glasgow City","5","5","[c]","[c]"
"In post","2023","16-19","Finance","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Milton Keynes","5","5","[c]","[c]"
"In post","2023","16-19","Finance","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
