"Status","Year","Ethnicity","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","Female","55","50","34620","28140"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","Male","25","20","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","Female","35","30","45240","40800"
"In post","2023","Asian","Attorney General's Departments","East of England","Male","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","Female","525","485","45600","52020"
"In post","2023","Asian","Attorney General's Departments","London","Male","230","225","44570","40800"
"In post","2023","Asian","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","Female","40","35","39750","38760"
"In post","2023","Asian","Attorney General's Departments","North West (England)","Male","30","30","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","Female","30","25","39500","30770"
"In post","2023","Asian","Attorney General's Departments","South East (England)","Male","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","Female","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","Female","105","95","36420","28850"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","Male","35","35","36360","31180"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","Female","45","45","39590","38760"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","Male","30","30","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","Female","310","305","44740","36680"
"In post","2023","Asian","Cabinet Office","London","Male","235","235","47850","41870"
"In post","2023","Asian","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North East (England)","Female","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","Female","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","Male","30","30","37520","32480"
"In post","2023","Asian","Cabinet Office","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","Female","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","Male","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","Female","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","Female","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","Male","30","30","39270","32990"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","Female","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","Male","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","Female","25","25","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","Male","25","25","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","Female","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","Female","65","60","46410","37080"
"In post","2023","Asian","Competition and Markets Authority","London","Male","60","60","53920","56070"
"In post","2023","Asian","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","Male","[c]","[c]","[c]","[c]"
