"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SEO/HEO","Heterosexual / straight","45","45","34120","32960"
"In post","2023","Analysis","Cabinet Office","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SEO/HEO","Unknown","65","65","29740","28840"
"In post","2023","Analysis","Chancellor's other departments","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G6/G7","Heterosexual / straight","100","95","86920","80890"
"In post","2023","Analysis","Chancellor's other departments","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G6/G7","Undeclared","20","15","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SEO/HEO","Heterosexual / straight","45","45","42910","43500"
