"Status","Year","Disability","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Female","90","85","32610","28120"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Male","60","60","38300","34170"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","Female","230","210","27760","28120"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","Male","115","105","27170","24890"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Outside London","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","London","Female","80","70","33170","32520"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","London","Male","40","35","33240","32520"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barnet","London","Female","80","75","35970","32520"
"In post","2023","Declared disabled","Barnet","London","Male","55","50","38940","32520"
"In post","2023","Declared disabled","Barnet","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Female","330","280","28500","28120"
"In post","2023","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Male","155","145","29280","28120"
"In post","2023","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","735","675","36700","33310"
"In post","2023","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","795","775","41010","39460"
