"Status","Year","Age","Disability","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","No function","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Security","[c]","[c]","[c]","[c]"
