"Status","Year","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","50","50","36080","32110"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","100","100","29380","29080"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","30","30","41230","35620"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","430","420","46190","41870"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","185","185","30800","30130"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","10","10","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","130","125","49640","43240"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","5","5","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","25","25","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","60","55","42180","37940"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","840","785","39980","33810"
"In post","2023","Asian","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","340","325","36550","33240"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","90","85","39990","39890"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","645","640","46030","41360"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","125","125","47720","52010"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","700","685","41930","37810"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","335","330","40950","37300"
"In post","2023","Asian","Department for International Trade","Department for International Trade","310","305","46180","41550"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","295","290","43990","38070"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","360","355","47170","43750"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","7815","7035","29250","28120"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","270","255","45050","41950"
"In post","2023","Asian","Disclosure Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Department for Transport","135","120","26510","22500"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Department for Transport","155","150","30050","30400"
"In post","2023","Asian","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","Department for Education","100","100","42310","38210"
"In post","2023","Asian","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","FCDO Services","Foreign, Commonwealth and Development Office","55","55","37390","32750"
"In post","2023","Asian","Food Standards Agency","Food Standards Agency","70","70","41000","38100"
"In post","2023","Asian","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","440","430","46290","39730"
"In post","2023","Asian","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","Chancellor's other departments","35","35","50600","46860"
"In post","2023","Asian","Government Commercial Organisation","Cabinet Office","70","70","71350","66270"
"In post","2023","Asian","Government Internal Audit Agency","HM Treasury","85","85","45180","43160"
"In post","2023","Asian","Government Legal Department","Attorney General's Departments","335","315","49790","52020"
"In post","2023","Asian","Government Property Agency","Cabinet Office","40","40","40060","37200"
"In post","2023","Asian","HM Courts and Tribunals Service","Ministry of Justice","1685","1520","27800","25480"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","HM Land Registry","220","205","31990","28080"
"In post","2023","Asian","HM Prison and Probation Service","Ministry of Justice","2170","2030","32200","30510"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","6235","5905","34430","32540"
"In post","2023","Asian","HM Treasury (excl. agencies)","HM Treasury","235","235","44300","39050"
"In post","2023","Asian","Health and Safety Executive","Department for Work and Pensions","80","80","46050","41970"
"In post","2023","Asian","Home Office","Home Office","4580","4250","33500","30140"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","Department for Education","35","35","48100","51460"
"In post","2023","Asian","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","40","40","40570","42530"
"In post","2023","Asian","Legal Aid Agency","Ministry of Justice","80","75","27960","21780"
"In post","2023","Asian","Maritime and Coastguard Agency","Department for Transport","55","55","44130","47430"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","290","285","43500","41190"
"In post","2023","Asian","Met Office","Department for Business, Energy and Industrial Strategy","35","35","33360","33100"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","1045","1015","37470","34300"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","645","630","42510","39000"
"In post","2023","Asian","National Crime Agency","National Crime Agency","290","280","39500","38640"
"In post","2023","Asian","National Infrastructure Commission","HM Treasury","5","5","[c]","[c]"
"In post","2023","Asian","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Savings and Investments","Chancellor's other departments","20","20","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","Northern Ireland Office","5","5","[c]","[c]"
"In post","2023","Asian","Office for Budget Responsibility","HM Treasury","5","5","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","125","120","42150","36330"
"In post","2023","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","195","190","42420","38000"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","35","35","39170","36800"
"In post","2023","Asian","Office of Rail and Road","Office of Rail and Road","35","35","48670","48140"
"In post","2023","Asian","Office of the Public Guardian","Ministry of Justice","470","435","23130","21780"
"In post","2023","Asian","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectorate","Department for Levelling Up, Housing and Communities","20","15","[c]","[c]"
"In post","2023","Asian","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","Asian","Registers of Scotland","Scottish Government","10","10","[c]","[c]"
"In post","2023","Asian","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","55","55","25410","22150"
"In post","2023","Asian","Scottish Courts and Tribunals Service","Scottish Government","15","15","[c]","[c]"
"In post","2023","Asian","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Government (excl. agencies)","Scottish Government","125","120","43190","39730"
"In post","2023","Asian","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Prison Service","Scottish Government","10","5","[c]","[c]"
"In post","2023","Asian","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Serious Fraud Office","Attorney General's Departments","50","50","46290","42110"
"In post","2023","Asian","Social Security Scotland","Scottish Government","85","80","32210","29100"
"In post","2023","Asian","Standards and Testing Agency","Department for Education","15","15","[c]","[c]"
"In post","2023","Asian","Student Awards Agency for Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2023","Asian","Submarine Delivery Agency","Ministry of Defence","50","50","40570","39500"
"In post","2023","Asian","Teaching Regulation Agency","Department for Education","15","15","[c]","[c]"
"In post","2023","Asian","The Insolvency Service","Department for Business, Energy and Industrial Strategy","150","140","29950","25810"
"In post","2023","Asian","The National Archives","The National Archives","45","45","35860","34710"
"In post","2023","Asian","Transport Scotland","Scottish Government","10","10","[c]","[c]"
"In post","2023","Asian","UK Debt Management Office","HM Treasury","5","5","[c]","[c]"
"In post","2023","Asian","UK Export Finance","UK Export Finance","95","90","49070","42000"
"In post","2023","Asian","UK Health Security Agency","Department of Health and Social Care","610","575","45150","35610"
"In post","2023","Asian","UK Hydrographic Office","Ministry of Defence","5","5","[c]","[c]"
"In post","2023","Asian","UK Space Agency","Department for Business, Energy and Industrial Strategy","20","20","[c]","[c]"
"In post","2023","Asian","UK Statistics Authority","UK Statistics Authority","235","215","34660","31560"
"In post","2023","Asian","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Valuation Office Agency","HM Revenue and Customs","250","235","34310","31540"
"In post","2023","Asian","Vehicle Certification Agency","Department for Transport","15","15","[c]","[c]"
