"Status","Year","Organisation","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","Southern Scotland","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Inner London - West","10","10","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","North Yorkshire","30","30","47030","40560"
"In post","2023","Active Travel England","Yorkshire and The Humber","West Yorkshire","10","10","66550","62060"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","100","95","30770","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","40","35","35110","34970"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Inner London - West","175","170","43730","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","140","125","31290","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","145","135","32220","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","West Central Scotland","95","85","32550","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","20","20","35620","35190"
