"Status","Year","Region_london","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","London","AA","Female","Heterosexual / straight","475","420","24610","23500"
"In post","2023","London","AA","Female","LGBO","20","20","[c]","[c]"
"In post","2023","London","AA","Female","Undeclared","60","55","23920","23500"
"In post","2023","London","AA","Female","Unknown","205","190","25110","23670"
"In post","2023","London","AA","Male","Heterosexual / straight","485","470","24560","23500"
"In post","2023","London","AA","Male","LGBO","25","25","[c]","[c]"
"In post","2023","London","AA","Male","Undeclared","60","60","24080","23500"
"In post","2023","London","AA","Male","Unknown","210","200","24930","23670"
"In post","2023","London","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","AO","Female","Heterosexual / straight","3595","3210","26850","25810"
"In post","2023","London","AO","Female","LGBO","185","175","29120","26920"
"In post","2023","London","AO","Female","Undeclared","560","485","26390","25610"
"In post","2023","London","AO","Female","Unknown","1545","1395","27340","26400"
"In post","2023","London","AO","Male","Heterosexual / straight","2735","2650","29040","26400"
"In post","2023","London","AO","Male","LGBO","155","155","28470","25900"
"In post","2023","London","AO","Male","Undeclared","300","290","27600","26400"
"In post","2023","London","AO","Male","Unknown","1185","1150","29280","26920"
"In post","2023","London","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","EO","Female","Heterosexual / straight","7715","7165","31350","31310"
"In post","2023","London","EO","Female","LGBO","390","375","31200","30720"
"In post","2023","London","EO","Female","Undeclared","1080","985","31090","30910"
"In post","2023","London","EO","Female","Unknown","2500","2330","31270","31310"
"In post","2023","London","EO","Male","Heterosexual / straight","5210","5060","31770","31450"
"In post","2023","London","EO","Male","LGBO","365","360","31360","31210"
"In post","2023","London","EO","Male","Undeclared","725","690","31740","31450"
"In post","2023","London","EO","Male","Unknown","1825","1780","31370","30930"
"In post","2023","London","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","G6","Female","Heterosexual / straight","3345","3150","70610","68930"
"In post","2023","London","G6","Female","LGBO","185","180","70500","68260"
"In post","2023","London","G6","Female","Undeclared","415","395","71180","69100"
"In post","2023","London","G6","Female","Unknown","800","750","70290","68680"
"In post","2023","London","G6","Male","Heterosexual / straight","3035","2980","71890","70710"
"In post","2023","London","G6","Male","LGBO","365","365","70250","69000"
"In post","2023","London","G6","Male","Undeclared","450","435","72360","71050"
"In post","2023","London","G6","Male","Unknown","765","750","72240","70210"
"In post","2023","London","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","G7","Female","Heterosexual / straight","7450","7115","57870","56410"
"In post","2023","London","G7","Female","LGBO","545","530","57310","55740"
"In post","2023","London","G7","Female","Undeclared","870","835","57650","55790"
"In post","2023","London","G7","Female","Unknown","1815","1745","58120","56490"
"In post","2023","London","G7","Male","Heterosexual / straight","6435","6345","58810","58000"
"In post","2023","London","G7","Male","LGBO","840","835","57560","56080"
"In post","2023","London","G7","Male","Undeclared","995","980","58870","58310"
"In post","2023","London","G7","Male","Unknown","1660","1630","59090","58370"
"In post","2023","London","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","HEO","Female","Heterosexual / straight","6715","6495","36900","36180"
"In post","2023","London","HEO","Female","LGBO","550","545","35970","35410"
"In post","2023","London","HEO","Female","Undeclared","820","790","36580","36070"
"In post","2023","London","HEO","Female","Unknown","2480","2425","35730","36000"
"In post","2023","London","HEO","Male","Heterosexual / straight","5375","5300","37490","36620"
"In post","2023","London","HEO","Male","LGBO","620","615","36500","35760"
"In post","2023","London","HEO","Male","Undeclared","735","720","37570","37040"
"In post","2023","London","HEO","Male","Unknown","2180","2160","36590","36180"
"In post","2023","London","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","SCS level","Female","Heterosexual / straight","1610","1520","89340","81600"
"In post","2023","London","SCS level","Female","LGBO","100","100","88570","78840"
"In post","2023","London","SCS level","Female","Undeclared","145","140","88900","82440"
"In post","2023","London","SCS level","Female","Unknown","335","320","94350","84200"
"In post","2023","London","SCS level","Male","Heterosexual / straight","1530","1510","95040","85510"
"In post","2023","London","SCS level","Male","LGBO","175","170","90870","82420"
"In post","2023","London","SCS level","Male","Undeclared","165","165","94560","84970"
"In post","2023","London","SCS level","Male","Unknown","345","335","98530","91350"
"In post","2023","London","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","SEO","Female","Heterosexual / straight","5700","5510","44200","43650"
"In post","2023","London","SEO","Female","LGBO","480","475","43770","43210"
"In post","2023","London","SEO","Female","Undeclared","750","725","43980","43210"
"In post","2023","London","SEO","Female","Unknown","1475","1440","44090","43650"
"In post","2023","London","SEO","Male","Heterosexual / straight","4725","4665","44810","43760"
"In post","2023","London","SEO","Male","LGBO","495","490","43540","43210"
"In post","2023","London","SEO","Male","Undeclared","735","720","44960","43790"
"In post","2023","London","SEO","Male","Unknown","1435","1420","44650","43750"
"In post","2023","London","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","Unknown","Female","Heterosexual / straight","1305","1235","35400","33820"
"In post","2023","London","Unknown","Female","LGBO","70","70","36840","34820"
"In post","2023","London","Unknown","Female","Undeclared","120","115","36990","34210"
"In post","2023","London","Unknown","Female","Unknown","280","255","31940","29290"
"In post","2023","London","Unknown","Male","Heterosexual / straight","455","445","36300","33820"
"In post","2023","London","Unknown","Male","LGBO","55","55","37460","34820"
"In post","2023","London","Unknown","Male","Undeclared","60","55","38940","36680"
"In post","2023","London","Unknown","Male","Unknown","115","110","31690","29300"
"In post","2023","London","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Outside London","AA","Female","Heterosexual / straight","4860","4175","21760","21720"
"In post","2023","Outside London","AA","Female","LGBO","455","430","22490","23230"
"In post","2023","Outside London","AA","Female","Undeclared","670","525","20780","19930"
"In post","2023","Outside London","AA","Female","Unknown","2365","2040","22300","22520"
"In post","2023","Outside London","AA","Male","Heterosexual / straight","5665","5375","21900","21380"
"In post","2023","Outside London","AA","Male","LGBO","245","235","22150","22520"
"In post","2023","Outside London","AA","Male","Undeclared","640","600","21460","21380"
"In post","2023","Outside London","AA","Male","Unknown","2225","2090","22700","22920"
"In post","2023","Outside London","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Outside London","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Outside London","AO","Female","Heterosexual / straight","38975","33485","23290","22400"
"In post","2023","Outside London","AO","Female","LGBO","2545","2415","25200","22520"
"In post","2023","Outside London","AO","Female","Undeclared","4680","3930","23090","22220"
"In post","2023","Outside London","AO","Female","Unknown","15060","12910","23360","22520"
"In post","2023","Outside London","AO","Male","Heterosexual / straight","28640","27465","25760","22520"
"In post","2023","Outside London","AO","Male","LGBO","2015","1945","24040","22500"
"In post","2023","Outside London","AO","Male","Undeclared","3395","3195","25360","22500"
"In post","2023","Outside London","AO","Male","Unknown","12110","11565","25160","22520"
"In post","2023","Outside London","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Outside London","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Outside London","EO","Female","Heterosexual / straight","41610","37225","28220","28120"
"In post","2023","Outside London","EO","Female","LGBO","2385","2295","28570","28120"
"In post","2023","Outside London","EO","Female","Undeclared","4495","3940","28240","28120"
