"Status","Year","Parent_department","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","Female","140","120","42130","32660"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","Male","55","55","52010","55170"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","100","90","40060","32660"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","35","35","47140","54100"
"In post","2023","Attorney General's Departments","Cheshire","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Female","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","Outside London","Female","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","Female","210","195","38680","31180"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","Male","110","110","37690","31490"
"In post","2023","Attorney General's Departments","Devon","Outside London","Female","60","55","39400","36970"
"In post","2023","Attorney General's Departments","Devon","Outside London","Male","50","50","42860","38940"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Outside London","Female","105","90","34250","28850"
"In post","2023","Attorney General's Departments","East Anglia","Outside London","Male","50","45","45560","49050"
"In post","2023","Attorney General's Departments","East Wales","Outside London","Female","225","205","38990","33810"
"In post","2023","Attorney General's Departments","East Wales","Outside London","Male","105","100","46140","49050"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","Female","65","55","38700","28850"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","Outside London","Female","165","150","42260","38460"
"In post","2023","Attorney General's Departments","Essex","Outside London","Male","50","45","45160","38660"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","180","165","43800","49050"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","100","95","47080","51040"
"In post","2023","Attorney General's Departments","Greater Manchester","Outside London","Female","270","250","39490","32130"
"In post","2023","Attorney General's Departments","Greater Manchester","Outside London","Male","130","125","44750","49050"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","Female","190","180","42930","36170"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","Male","105","105","44950","44750"
"In post","2023","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - East","London","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - East","London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - West","London","Female","3040","2810","50900","52790"
"In post","2023","Attorney General's Departments","Inner London - West","London","Male","1670","1635","52260","52790"
"In post","2023","Attorney General's Departments","Kent","Outside London","Female","85","80","38310","30560"
"In post","2023","Attorney General's Departments","Kent","Outside London","Male","55","55","45420","54100"
"In post","2023","Attorney General's Departments","Lancashire","Outside London","Female","130","120","39420","35000"
"In post","2023","Attorney General's Departments","Lancashire","Outside London","Male","65","65","44730","49050"
"In post","2023","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Outside London","Female","130","115","37140","31180"
"In post","2023","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Outside London","Male","50","50","43320","51270"
"In post","2023","Attorney General's Departments","Lincolnshire","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Lincolnshire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Merseyside","Outside London","Female","280","265","36220","28850"
"In post","2023","Attorney General's Departments","Merseyside","Outside London","Male","150","150","41000","38760"
"In post","2023","Attorney General's Departments","North Yorkshire","Outside London","Female","95","90","41600","38940"
"In post","2023","Attorney General's Departments","North Yorkshire","Outside London","Male","65","65","47430","40080"
"In post","2023","Attorney General's Departments","Northumberland, and Tyne and Wear","Outside London","Female","185","165","35740","28850"
"In post","2023","Attorney General's Departments","Northumberland, and Tyne and Wear","Outside London","Male","100","95","45760","49050"
"In post","2023","Attorney General's Departments","Outer London - East and North East","London","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Outer London - East and North East","London","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Outer London - South","London","Female","40","35","39060","32660"
"In post","2023","Attorney General's Departments","Outer London - South","London","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Outer London - West and North West","London","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Outer London - West and North West","London","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Shropshire and Staffordshire","Outside London","Female","55","55","41080","38940"
"In post","2023","Attorney General's Departments","Shropshire and Staffordshire","Outside London","Male","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","South Yorkshire","Outside London","Female","115","105","34440","28850"
"In post","2023","Attorney General's Departments","South Yorkshire","Outside London","Male","50","45","39890","34050"
"In post","2023","Attorney General's Departments","Surrey, East and West Sussex","Outside London","Female","145","135","43160","36780"
"In post","2023","Attorney General's Departments","Surrey, East and West Sussex","Outside London","Male","65","65","43770","35250"
"In post","2023","Attorney General's Departments","Tees Valley and Durham","Outside London","Female","80","70","39220","31590"
"In post","2023","Attorney General's Departments","Tees Valley and Durham","Outside London","Male","35","30","41650","38760"
"In post","2023","Attorney General's Departments","West Midlands","Outside London","Female","390","360","39150","31490"
"In post","2023","Attorney General's Departments","West Midlands","Outside London","Male","160","155","44780","49050"
"In post","2023","Attorney General's Departments","West Wales and The Valleys","Outside London","Female","70","65","38950","36880"
"In post","2023","Attorney General's Departments","West Wales and The Valleys","Outside London","Male","30","30","47900","49530"
"In post","2023","Attorney General's Departments","West Yorkshire","Outside London","Female","435","395","42270","40500"
"In post","2023","Attorney General's Departments","West Yorkshire","Outside London","Male","205","200","46520","49050"
"In post","2023","Cabinet Office","Bedfordshire and Hertfordshire","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Bedfordshire and Hertfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","55","55","36370","34320"
"In post","2023","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","45","45","46860","35740"
"In post","2023","Cabinet Office","Cheshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cheshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Derbyshire and Nottinghamshire","Outside London","Female","40","35","48370","40250"
"In post","2023","Cabinet Office","Derbyshire and Nottinghamshire","Outside London","Male","35","35","51720","53970"
"In post","2023","Cabinet Office","Devon","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Devon","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Dorset and Somerset","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Dorset and Somerset","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","East Anglia","Outside London","Female","120","110","46320","40620"
