"Status","Year","Parent_department","Region_ITL2","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Female","Heterosexual / straight","105","95","40520","30560"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Female","Unknown","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Male","Heterosexual / straight","45","40","51920","55170"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Female","Heterosexual / straight","70","65","39450","32660"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Female","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Male","LGBO","[c]","[c]","[c]","[c]"
