"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO/HEO","Heterosexual / straight","30","30","40740","38330"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Active Travel England","Communications","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
