"Status","Year","Age","Organisation","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Scottish Government","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","London","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","East of England","10","10","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","London","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","North West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","South East (England)","10","10","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Ministry of Defence","Wales","10","10","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Ministry of Defence","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Ministry of Defence","Scotland","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Ministry of Defence","South East (England)","10","10","18820","18280"
"In post","2023","16-19","Defence Equipment and Support","Ministry of Defence","South West (England)","85","85","19280","18780"
"In post","2023","16-19","Defence Science and Technology Laboratory","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Ministry of Defence","South West (England)","25","25","21620","23340"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Department for International Trade","London","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Department for Transport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","North East (England)","15","10","23670","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","North West (England)","20","20","23470","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","South West (England)","[c]","[c]","[c]","[c]"
