"Status","Year","Age","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","London","Inner London - West","15","15","28020","28510"
"In post","2023","16-19","Analysis","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South East (England)","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","23320","23340"
"In post","2023","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Wales","East Wales","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Scotland","Southern Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Wales","East Wales","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Yorkshire and The Humber","West Yorkshire","15","15","22430","22520"
"In post","2023","16-19","Digital, Data & Technology","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South West (England)","Devon","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","West Central Scotland","5","5","[c]","[c]"
