"Status","Year","Function_of_post","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","Female","Heterosexual / straight","45","45","39470","37680"
"In post","2023","Analysis","East Midlands (England)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Male","Heterosexual / straight","45","45","41590","40230"
"In post","2023","Analysis","East Midlands (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Female","Heterosexual / straight","90","80","36000","37300"
"In post","2023","Analysis","East of England","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","East of England","Female","Undeclared","15","10","[c]","[c]"
"In post","2023","Analysis","East of England","Female","Unknown","80","75","33130","30350"
"In post","2023","Analysis","East of England","Male","Heterosexual / straight","90","85","40380","37310"
"In post","2023","Analysis","East of England","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","East of England","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","East of England","Male","Unknown","95","95","40880","37310"
"In post","2023","Analysis","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Female","Heterosexual / straight","1390","1325","50960","46600"
"In post","2023","Analysis","London","Female","LGBO","135","130","48280","44170"
"In post","2023","Analysis","London","Female","Undeclared","140","130","49150","45960"
"In post","2023","Analysis","London","Female","Unknown","350","345","42740","39110"
"In post","2023","Analysis","London","Male","Heterosexual / straight","1610","1590","52070","48070"
"In post","2023","Analysis","London","Male","LGBO","170","170","49850","45560"
"In post","2023","Analysis","London","Male","Undeclared","195","190","53180","54110"
"In post","2023","Analysis","London","Male","Unknown","420","415","46290","42370"
"In post","2023","Analysis","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Female","Heterosexual / straight","120","110","40770","38470"
"In post","2023","Analysis","North East (England)","Female","LGBO","25","20","[c]","[c]"
"In post","2023","Analysis","North East (England)","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","North East (England)","Female","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","North East (England)","Male","Heterosexual / straight","135","130","40700","37680"
"In post","2023","Analysis","North East (England)","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","North East (England)","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","North East (England)","Male","Unknown","30","30","[c]","[c]"
"In post","2023","Analysis","North East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Female","Heterosexual / straight","200","185","43090","41780"
"In post","2023","Analysis","North West (England)","Female","LGBO","35","35","40240","37760"
"In post","2023","Analysis","North West (England)","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","North West (England)","Female","Unknown","35","30","38070","37680"
"In post","2023","Analysis","North West (England)","Male","Heterosexual / straight","250","245","42260","38800"
"In post","2023","Analysis","North West (England)","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","North West (England)","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","North West (England)","Male","Unknown","65","65","39450","37300"
"In post","2023","Analysis","North West (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Female","Heterosexual / straight","60","55","43290","36780"
"In post","2023","Analysis","Scotland","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Scotland","Male","Heterosexual / straight","55","55","46090","42810"
"In post","2023","Analysis","Scotland","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Scotland","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Scotland","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Female","Heterosexual / straight","360","335","41650","39300"
"In post","2023","Analysis","South East (England)","Female","LGBO","45","40","36590","32170"
"In post","2023","Analysis","South East (England)","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","South East (England)","Female","Unknown","70","65","40470","39300"
"In post","2023","Analysis","South East (England)","Male","Heterosexual / straight","470","455","44430","41000"
"In post","2023","Analysis","South East (England)","Male","LGBO","30","30","38720","39300"
"In post","2023","Analysis","South East (England)","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","South East (England)","Male","Unknown","160","160","42510","39890"
"In post","2023","Analysis","South East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","Female","Heterosexual / straight","245","220","40770","39890"
"In post","2023","Analysis","South West (England)","Female","LGBO","35","35","36590","30650"
"In post","2023","Analysis","South West (England)","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","South West (England)","Female","Unknown","95","90","36780","30820"
"In post","2023","Analysis","South West (England)","Male","Heterosexual / straight","390","385","43380","40230"
"In post","2023","Analysis","South West (England)","Male","LGBO","30","30","37430","37730"
"In post","2023","Analysis","South West (England)","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","South West (England)","Male","Unknown","170","165","41250","39890"
"In post","2023","Analysis","South West (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
