"Status","Year","Disability","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office (excl. agencies)","Cabinet Office","55","55","43730","41410"
"In post","2023","Declared disabled","Asian","Central Civil Service Fast Stream","Cabinet Office","40","40","31080","30130"
"In post","2023","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Prosecution Service","Attorney General's Departments","90","80","40110","33550"
"In post","2023","Declared disabled","Asian","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Equipment and Support","Ministry of Defence","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Science and Technology Laboratory","Ministry of Defence","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","60","60","47790","41360"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education (excl. agencies)","Department for Education","50","50","38390","37590"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","55","50","39760","37300"
"In post","2023","Declared disabled","Asian","Department for International Trade","Department for International Trade","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","45","45","40900","35890"
"In post","2023","Declared disabled","Asian","Department for Transport (excl. agencies)","Department for Transport","30","30","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","1210","1065","29180","28120"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Driver and Vehicle Licensing Agency","Department for Transport","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Driver and Vehicle Standards Agency","Department for Transport","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Education and Skills Funding Agency","Department for Education","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","FCDO Services","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","30","30","38760","36620"
"In post","2023","Declared disabled","Asian","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Government Commercial Organisation","Cabinet Office","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Government Internal Audit Agency","HM Treasury","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Government Legal Department","Attorney General's Departments","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Courts and Tribunals Service","Ministry of Justice","235","210","27360","25480"
"In post","2023","Declared disabled","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Land Registry","HM Land Registry","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Prison and Probation Service","Ministry of Justice","290","275","32640","30810"
"In post","2023","Declared disabled","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","465","430","35790","34700"
"In post","2023","Declared disabled","Asian","HM Treasury (excl. agencies)","HM Treasury","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Home Office","Home Office","380","345","34400","30200"
"In post","2023","Declared disabled","Asian","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal Aid Agency","Ministry of Justice","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","65","65","40000","34390"
"In post","2023","Declared disabled","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","65","65","42510","37680"
"In post","2023","Declared disabled","Asian","National Crime Agency","National Crime Agency","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Public Guardian","Ministry of Justice","45","45","23070","21780"
"In post","2023","Declared disabled","Asian","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Government (excl. agencies)","Scottish Government","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Serious Fraud Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Social Security Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","The Insolvency Service","Department for Business, Energy and Industrial Strategy","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
