"Status","Year","Profession_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Barnet","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","650","610","41250","41800"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","600","590","45420","42620"
"In post","2023","Commercial","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Berkshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Birmingham","Female","65","60","49780","39860"
"In post","2023","Commercial","Birmingham","Male","55","55","54540","43220"
"In post","2023","Commercial","Blackpool","Female","110","110","42450","38470"
"In post","2023","Commercial","Blackpool","Male","55","55","44180","38470"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","Female","55","50","47410","38970"
"In post","2023","Commercial","Bristol, City of","Male","40","40","49260","40930"
"In post","2023","Commercial","Buckinghamshire","Female","45","45","41500","43100"
"In post","2023","Commercial","Buckinghamshire","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","Female","45","40","39710","39590"
"In post","2023","Commercial","Cambridgeshire CC","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","Female","35","30","41780","38460"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Hampshire","Female","115","110","40600","36920"
"In post","2023","Commercial","Central Hampshire","Male","80","75","46290","40240"
"In post","2023","Commercial","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire East","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire West and Chester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire West and Chester","Male","[c]","[c]","[c]","[c]"
