"Status","Year","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","10","10","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","20","20","45030","39040"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","20","20","47890","41870"
"In post","2023","Analysis","Central Civil Service Fast Stream","115","110","31120","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","500","480","35760","30820"
"In post","2023","Analysis","Charity Commission","15","15","32630","30170"
"In post","2023","Analysis","Companies House","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","145","135","63160","58050"
"In post","2023","Analysis","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","1045","1015","44530","49260"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","210","205","42080","35700"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","130","125","50750","56760"
"In post","2023","Analysis","Department for Education (excl. agencies)","575","545","46770","44600"
"In post","2023","Analysis","Department for International Trade","255","255","48780","55370"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","255","250","48040","49700"
"In post","2023","Analysis","Department for Transport (excl. agencies)","360","350","50000","55190"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","620","585","45460","39150"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","165","160","49220","51250"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","55","50","30720","29280"
"In post","2023","Analysis","Education and Skills Funding Agency","30","25","40960","38210"
"In post","2023","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","50","50","38950","38100"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","51210","53500"
"In post","2023","Analysis","Government Actuary's Department","185","175","72260","67770"
"In post","2023","Analysis","Government Legal Department","5","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","60","60","45070","40870"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","30","30","47030","39520"
"In post","2023","Analysis","HM Prison and Probation Service","10","10","43580","42120"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","775","750","49100","45170"
"In post","2023","Analysis","HM Treasury (excl. agencies)","185","180","44870","38660"
"In post","2023","Analysis","Health and Safety Executive","65","60","44070","40840"
"In post","2023","Analysis","Home Office","575","560","45570","43210"
"In post","2023","Analysis","Intellectual Property Office","60","55","42320","41240"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","80","80","38380","28960"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","325","315","42600","40290"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","690","670","46640","43650"
"In post","2023","Analysis","National Infrastructure Commission","5","5","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","30","30","48680","48470"
"In post","2023","Analysis","Office for Budget Responsibility","40","40","53050","54810"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","170","165","42690","40640"
"In post","2023","Analysis","Office of Gas and Electricity Markets","165","165","47570","43650"
"In post","2023","Analysis","Office of Rail and Road","60","60","54740","53410"
"In post","2023","Analysis","Planning Inspectorate","20","15","45290","41560"
"In post","2023","Analysis","Registers of Scotland","15","15","41310","39590"
"In post","2023","Analysis","Rural Payments Agency","45","40","32040","30320"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","5","5","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","35","30","43810","42770"
"In post","2023","Analysis","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","20","20","53170","51570"
"In post","2023","Analysis","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","1925","1840","39540","37760"
"In post","2023","Analysis","Valuation Office Agency","60","60","46400","41500"
"In post","2023","Analysis","Water Services Regulation Authority","50","50","60270","51830"
"In post","2023","Analysis","Welsh Revenue Authority","5","5","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","5","5","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","75","70","35970","32930"
"In post","2023","Commercial","Building Digital UK","25","25","36270","35040"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","210","205","50780","51290"
"In post","2023","Commercial","Central Civil Service Fast Stream","90","90","30450","30130"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","20","20","44570","49400"
"In post","2023","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","5","5","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","340","330","37480","39860"
"In post","2023","Commercial","Crown Prosecution Service","40","40","40520","38940"
"In post","2023","Commercial","Defence Electronics and Components Agency","30","30","33160","33040"
"In post","2023","Commercial","Defence Equipment and Support","925","880","41990","42620"
"In post","2023","Commercial","Defence Science and Technology Laboratory","90","85","32440","30650"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","20","20","43310","41360"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","20","20","54640","54980"
"In post","2023","Commercial","Department for Education (excl. agencies)","270","265","43030","39090"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","150","145","36560","37300"
"In post","2023","Commercial","Department for International Trade","40","40","39250","36030"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","30","30","43400","40390"
"In post","2023","Commercial","Department for Transport (excl. agencies)","150","145","50230","43750"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","35","35","32390","34170"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","95","90","42830","39600"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","185","165","33870","31660"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","45","40","37460","35950"
"In post","2023","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","FCDO Services","80","80","48740","44320"
"In post","2023","Commercial","Food Standards Agency","15","15","36960","37720"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","42140","41270"
"In post","2023","Commercial","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Commercial Organisation","1490","1475","74430","67200"
"In post","2023","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","20","20","45870","39520"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","145","135","39010","41780"
"In post","2023","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Health and Safety Executive","60","55","39720","33570"
"In post","2023","Commercial","Home Office","125","125","40800","40040"
"In post","2023","Commercial","Institute for Apprenticeships and Technical Education","20","20","51540","51590"
"In post","2023","Commercial","Intellectual Property Office","15","15","39720","35460"
"In post","2023","Commercial","Maritime and Coastguard Agency","20","20","40730","40180"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","40","40","44290","41690"
"In post","2023","Commercial","Met Office","165","155","43950","45150"
"In post","2023","Commercial","Ministry of Defence (excl. agencies)","1005","970","38060","35650"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","280","275","35920","35970"
"In post","2023","Commercial","National Crime Agency","25","25","47510","47380"
"In post","2023","Commercial","National Savings and Investments","20","20","50700","50000"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","15","15","36140","27140"
"In post","2023","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Planning Inspectorate","5","5","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","10","10","[c]","[c]"
"In post","2023","Commercial","Registers of Scotland","10","10","43490","39590"
"In post","2023","Commercial","Scottish Courts and Tribunals Service","10","10","40040","38170"
"In post","2023","Commercial","Scottish Prison Service","85","80","34530","28490"
"In post","2023","Commercial","Serious Fraud Office","5","5","[c]","[c]"
"In post","2023","Commercial","Submarine Delivery Agency","165","160","43020","42620"
"In post","2023","Commercial","The Insolvency Service","15","15","42140","44750"
"In post","2023","Commercial","The National Archives","40","35","32340","24640"
"In post","2023","Commercial","UK Export Finance","225","225","53850","52000"
"In post","2023","Commercial","UK Health Security Agency","115","110","49380","42200"
"In post","2023","Commercial","UK Hydrographic Office","10","10","[c]","[c]"
"In post","2023","Commercial","UK Space Agency","5","5","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","40","35","45740","39630"
"In post","2023","Commercial","Valuation Office Agency","5","5","[c]","[c]"
"In post","2023","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wilton Park","20","15","31530","28500"
"In post","2023","Communications","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Advisory, Conciliation and Arbitration Service","20","15","38750","36280"
"In post","2023","Communications","Attorney General's Office","5","5","[c]","[c]"
"In post","2023","Communications","Building Digital UK","20","20","46960","53030"
"In post","2023","Communications","Cabinet Office (excl. agencies)","235","235","52850","51950"
"In post","2023","Communications","Central Civil Service Fast Stream","10","10","33660","34250"
"In post","2023","Communications","Centre for Environment, Fisheries and Aquaculture Science","10","10","[c]","[c]"
"In post","2023","Communications","Charity Commission","25","25","41680","38800"
"In post","2023","Communications","Companies House","30","25","38560","40680"
"In post","2023","Communications","Competition and Markets Authority","30","30","45870","42730"
"In post","2023","Communications","Crown Commercial Service","20","20","41100","40160"
"In post","2023","Communications","Crown Office and Procurator Fiscal Service","10","10","40570","35420"
"In post","2023","Communications","Crown Prosecution Service","60","55","43800","40540"
"In post","2023","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Defence Equipment and Support","35","30","42330","38890"
"In post","2023","Communications","Defence Science and Technology Laboratory","15","15","46140","44000"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","110","105","49420","46110"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","40","40","54600","54010"
"In post","2023","Communications","Department for Education (excl. agencies)","260","250","41120","37870"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","220","210","42080","37980"
"In post","2023","Communications","Department for International Trade","105","105","47320","41750"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","90","90","48610","43610"
"In post","2023","Communications","Department for Transport (excl. agencies)","75","75","48990","43750"
"In post","2023","Communications","Department for Work and Pensions (excl. agencies)","205","190","44060","43700"
"In post","2023","Communications","Department of Health and Social Care (excl. agencies)","75","70","48060","41950"
"In post","2023","Communications","Driver and Vehicle Licensing Agency","70","65","31040","27450"
"In post","2023","Communications","Driver and Vehicle Standards Agency","45","45","36220","32810"
"In post","2023","Communications","Education and Skills Funding Agency","15","15","43330","43490"
"In post","2023","Communications","Estyn","10","5","[c]","[c]"
"In post","2023","Communications","FCDO Services","20","20","42200","39890"
"In post","2023","Communications","Food Standards Agency","55","55","41440","38100"
"In post","2023","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","105","100","50670","46450"
