"Status","Year","Ethnicity","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","Heterosexual / straight","30","30","44940","41120"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","Heterosexual / straight","50","50","30390","28610"
"In post","2023","Asian","Angus and Dundee City","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","Heterosexual / straight","140","125","32810","32520"
"In post","2023","Asian","Barking & Dagenham and Havering","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","Unknown","25","20","[c]","[c]"
"In post","2023","Asian","Barnet","London","Heterosexual / straight","330","315","39220","32980"
"In post","2023","Asian","Barnet","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barnet","London","Undeclared","30","30","38760","32980"
"In post","2023","Asian","Barnet","London","Unknown","60","55","49140","41280"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","365","350","38080","34700"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","15","10","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","Heterosexual / straight","80","75","29950","28120"
"In post","2023","Asian","Bedford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","Unknown","10","5","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","Undeclared","[c]","[c]","[c]","[c]"
