"Status","Year","Ethnicity","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","EO","EO","15","15","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","AA/AO","AO","35","35","23480","22150"
