"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6/G7","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO/HEO","20","20","37860","38940"
"In post","2023","Attorney General's Departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","10","10","27900","27440"
"In post","2023","Attorney General's Departments","Communications","G6/G7","20","20","59400","55850"
"In post","2023","Attorney General's Departments","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO/HEO","60","60","38050","39710"
"In post","2023","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","EO","50","50","27970","27010"
"In post","2023","Attorney General's Departments","Counter Fraud","G6/G7","75","70","66350","67530"
"In post","2023","Attorney General's Departments","Counter Fraud","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","SEO/HEO","105","100","39740","40000"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","EO","30","25","28800","27480"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","G6/G7","65","65","61690","59140"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","100","100","37820","37730"
"In post","2023","Attorney General's Departments","Finance","AA/AO","70","60","22980","22870"
"In post","2023","Attorney General's Departments","Finance","EO","65","60","27760","27440"
"In post","2023","Attorney General's Departments","Finance","G6/G7","30","25","60750","58730"
"In post","2023","Attorney General's Departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","SEO/HEO","70","70","35260","33300"
"In post","2023","Attorney General's Departments","Human Resources","AA/AO","20","20","23730","24280"
"In post","2023","Attorney General's Departments","Human Resources","EO","45","45","27780","27760"
"In post","2023","Attorney General's Departments","Human Resources","G6/G7","65","65","59360","56450"
"In post","2023","Attorney General's Departments","Human Resources","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","SEO/HEO","125","120","35330","33810"
"In post","2023","Attorney General's Departments","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","EO","20","20","28540","28540"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","G6/G7","25","25","57340","55850"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","35","35","36180","35000"
"In post","2023","Attorney General's Departments","Legal","AA/AO","10","10","24250","24280"
"In post","2023","Attorney General's Departments","Legal","EO","275","270","29450","28200"
"In post","2023","Attorney General's Departments","Legal","G6/G7","4590","4240","59440","56450"
"In post","2023","Attorney General's Departments","Legal","SCS level","280","265","88140","84380"
"In post","2023","Attorney General's Departments","Legal","SEO/HEO","460","440","39670","38760"
"In post","2023","Attorney General's Departments","Operational Delivery","AA/AO","1535","1420","23210","22870"
"In post","2023","Attorney General's Departments","Operational Delivery","EO","1450","1350","28500","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","G6/G7","125","120","61630","58980"
"In post","2023","Attorney General's Departments","Operational Delivery","SCS level","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","SEO/HEO","455","445","35230","33810"
"In post","2023","Attorney General's Departments","Other","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","EO","25","25","28180","27760"
"In post","2023","Attorney General's Departments","Other","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SEO/HEO","10","10","35350","36050"
"In post","2023","Attorney General's Departments","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","EO","10","10","27650","26900"
"In post","2023","Attorney General's Departments","Policy","G6/G7","80","75","60080","58070"
"In post","2023","Attorney General's Departments","Policy","SCS level","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","SEO/HEO","45","45","37270","38940"
"In post","2023","Attorney General's Departments","Project Delivery","EO","10","10","28500","28370"
"In post","2023","Attorney General's Departments","Project Delivery","G6/G7","25","20","58560","56760"
"In post","2023","Attorney General's Departments","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","SEO/HEO","70","70","36430","35550"
"In post","2023","Attorney General's Departments","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","SEO/HEO","25","25","33400","32830"
"In post","2023","Attorney General's Departments","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","SEO/HEO","25","25","33420","32660"
"In post","2023","Attorney General's Departments","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","EO","45","40","27040","26410"
"In post","2023","Cabinet Office","Commercial","G6/G7","1210","1195","67190","66270"
"In post","2023","Cabinet Office","Commercial","SCS level","240","235","119990","117940"
"In post","2023","Cabinet Office","Commercial","SEO/HEO","495","485","36080","36680"
"In post","2023","Cabinet Office","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","EO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Communications","G6/G7","75","75","60300","58190"
"In post","2023","Cabinet Office","Communications","SCS level","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Communications","SEO/HEO","95","95","38190","38460"
"In post","2023","Cabinet Office","Counter Fraud","G6/G7","15","15","58300","56430"
"In post","2023","Cabinet Office","Counter Fraud","SCS level","5","5","[c]","[c]"
