"Status","Year","Disability","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","London","Female","310","285","49660","52020"
"In post","2023","Declared disabled","Attorney General's Departments","London","Male","165","160","50400","52400"
"In post","2023","Declared disabled","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","Female","510","460","39590","32660"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","Male","225","215","43050","40120"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","London","Female","435","425","44300","35650"
"In post","2023","Declared disabled","Cabinet Office","London","Male","295","295","50620","43470"
"In post","2023","Declared disabled","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Outside London","Female","360","345","39500","34150"
"In post","2023","Declared disabled","Cabinet Office","Outside London","Male","285","280","46440","38460"
"In post","2023","Declared disabled","Cabinet Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Female","320","310","48740","44010"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Male","240","240","49790","50140"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","Female","515","470","34960","32200"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","Male","365","355","36590","33430"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","London","Female","90","90","49810","52760"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","London","Male","60","60","47580","44480"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","London","Female","150","140","52410","55020"
"In post","2023","Declared disabled","Department for Education","London","Male","80","75","50890","51720"
"In post","2023","Declared disabled","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Outside London","Female","385","360","40680","37590"
"In post","2023","Declared disabled","Department for Education","Outside London","Male","220","215","41600","37590"
"In post","2023","Declared disabled","Department for Education","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","London","Female","185","175","45640","40260"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","London","Male","140","135","44880","40320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","Female","925","860","32470","30320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","Male","550","535","33910","30320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","London","Female","115","115","47880","42170"
"In post","2023","Declared disabled","Department for International Trade","London","Male","100","100","48920","41550"
"In post","2023","Declared disabled","Department for International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Outside London","Female","30","30","41530","38050"
"In post","2023","Declared disabled","Department for International Trade","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","London","Female","135","135","47710","46920"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","London","Male","115","115","48190","40990"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","Female","120","115","39060","37300"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","Male","80","80","43160","37540"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","London","Female","105","100","47380","43750"
"In post","2023","Declared disabled","Department for Transport","London","Male","125","120","46580","43750"
"In post","2023","Declared disabled","Department for Transport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","Outside London","Female","680","560","26680","22500"
"In post","2023","Declared disabled","Department for Transport","Outside London","Male","525","485","29880","27450"
"In post","2023","Declared disabled","Department for Transport","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","London","Female","1175","1050","34940","32520"
"In post","2023","Declared disabled","Department for Work and Pensions","London","Male","535","510","36610","32520"
"In post","2023","Declared disabled","Department for Work and Pensions","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","Outside London","Female","10525","8880","27880","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","Outside London","Male","5095","4750","28510","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","Unknown","Female","35","30","33470","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","Unknown","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","London","Female","165","160","46850","41950"
"In post","2023","Declared disabled","Department of Health and Social Care","London","Male","80","75","51590","41950"
"In post","2023","Declared disabled","Department of Health and Social Care","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","Outside London","Female","170","165","42960","39880"
