"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Yorkshire and The Humber","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East of England","EO","[c]","[c]","[c]","[c]"
