"Status","Year","Age","Region_ITL2","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Hampshire and Isle of Wight","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Inner London - East","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Inner London - East","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Inner London - West","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Inner London - West","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","EO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Inner London - West","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Kent","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","AO","Unknown","30","30","[c]","[c]"
"In post","2023","16-19","Kent","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Kent","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","EO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Lancashire","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Lancashire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","AA","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Lancashire","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Lancashire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Lancashire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Lincolnshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Merseyside","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Merseyside","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Merseyside","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Merseyside","AO","Unknown","25","20","[c]","[c]"
"In post","2023","16-19","Merseyside","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Merseyside","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Merseyside","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Merseyside","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Yorkshire","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Yorkshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Yorkshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Yorkshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Yorkshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","AO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - East and North East","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - East and North East","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - East and North East","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - East and North East","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - East and North East","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - East and North East","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Outer London - South","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - West and North West","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - West and North West","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - West and North West","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Outer London - West and North West","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - West and North West","AO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Outer London - West and North West","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - West and North West","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - West and North West","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shropshire and Staffordshire","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Shropshire and Staffordshire","AA","LGBO","[c]","[c]","[c]","[c]"
