"Status","Year","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Outside London","Female","75","65","32730","31940"
"In post","2023","Accountant in Bankruptcy","Outside London","Male","45","45","36120","31940"
"In post","2023","Active Travel England","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Female","20","15","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Female","100","95","41920","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Male","75","75","46160","45240"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Female","495","445","32140","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Male","340","320","33290","32110"
"In post","2023","Animal and Plant Health Agency","London","Female","40","40","38510","33830"
"In post","2023","Animal and Plant Health Agency","London","Male","45","45","37120","32720"
"In post","2023","Animal and Plant Health Agency","Outside London","Female","1805","1690","30410","26850"
"In post","2023","Animal and Plant Health Agency","Outside London","Male","1200","1170","32220","29080"
"In post","2023","Attorney General's Office","London","Female","30","25","[c]","[c]"
"In post","2023","Attorney General's Office","London","Male","20","20","[c]","[c]"
"In post","2023","Building Digital UK","London","Female","75","75","46830","52760"
"In post","2023","Building Digital UK","London","Male","65","65","50980","53030"
"In post","2023","Building Digital UK","Outside London","Female","40","40","41530","38500"
"In post","2023","Building Digital UK","Outside London","Male","50","50","43160","37130"
"In post","2023","Cabinet Office (excl. agencies)","London","Female","1865","1805","52300","56430"
"In post","2023","Cabinet Office (excl. agencies)","London","Male","1700","1690","55540","56430"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","Female","1215","1145","37490","34020"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","Male","965","945","40040","34320"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Female","80","80","46970","39760"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Male","85","80","38110","34220"
"In post","2023","Central Civil Service Fast Stream","London","Female","735","730","30770","30130"
"In post","2023","Central Civil Service Fast Stream","London","Male","455","455","30770","30130"
"In post","2023","Central Civil Service Fast Stream","Outside London","Female","260","260","30470","30130"
"In post","2023","Central Civil Service Fast Stream","Outside London","Male","205","205","30790","30130"
"In post","2023","Central Civil Service Fast Stream","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","335","310","34010","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","325","315","37760","37300"
"In post","2023","Charity Commission","London","Female","50","45","47360","42880"
"In post","2023","Charity Commission","London","Male","35","30","43320","38800"
"In post","2023","Charity Commission","Outside London","Female","250","235","33890","30170"
"In post","2023","Charity Commission","Outside London","Male","165","165","33940","30170"
"In post","2023","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Outside London","Female","675","605","31110","25610"
"In post","2023","Companies House","Outside London","Male","530","520","34170","31350"
"In post","2023","Competition and Markets Authority","London","Female","395","375","60630","57540"
"In post","2023","Competition and Markets Authority","London","Male","400","390","65120","60850"
"In post","2023","Competition and Markets Authority","Outside London","Female","60","55","56890","55540"
"In post","2023","Competition and Markets Authority","Outside London","Male","60","60","58700","55950"
"In post","2023","Criminal Injuries Compensation Authority","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","Female","185","165","28500","25830"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","Male","150","145","27430","25830"
"In post","2023","Criminal Injuries Compensation Authority","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","London","Female","30","30","[c]","[c]"
