"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","20","20","45280","41710"
"In post","2023","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","10","10","43200","38760"
"In post","2023","Analysis","Digital, Data and Technology","Central Valleys","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","10","10","43060","39590"
"In post","2023","Analysis","Digital, Data and Technology","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Glasgow City","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Leeds","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Liverpool","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Sheffield","15","15","42240","39090"
"In post","2023","Analysis","Digital, Data and Technology","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Tower Hamlets","60","55","48090","43650"
"In post","2023","Analysis","Digital, Data and Technology","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","30","30","50890","45040"
"In post","2023","Analysis","Economics","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Birmingham","35","35","50730","38760"
"In post","2023","Analysis","Economics","Bristol, City of","10","10","43520","43250"
"In post","2023","Analysis","Economics","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Camden and City of London","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
