"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","Sunderland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","Tyneside","180","175","42060","38470"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","Darlington","165","160","37810","33790"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cumbria","East Cumbria","15","15","35200","37300"
"In post","2023","Analysis","North West (England)","Cumbria","West Cumbria","5","5","[c]","[c]"
"In post","2023","Analysis","North West (England)","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Greater Manchester","Greater Manchester South West","235","230","43270","41780"
"In post","2023","Analysis","North West (England)","Greater Manchester","Manchester","175","170","38940","35880"
"In post","2023","Analysis","North West (England)","Lancashire","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Lancashire","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Lancashire","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Lancashire","Mid Lancashire","10","10","[c]","[c]"
"In post","2023","Analysis","North West (England)","Merseyside","East Merseyside","5","5","[c]","[c]"
"In post","2023","Analysis","North West (England)","Merseyside","Liverpool","150","145","43460","41780"
"In post","2023","Analysis","North West (England)","Merseyside","Sefton","45","40","40930","38800"
"In post","2023","Analysis","North West (England)","Merseyside","Wirral","5","5","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Eastern Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Eastern Scotland","City of Edinburgh","60","60","49490","43000"
"In post","2023","Analysis","Scotland","Eastern Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Eastern Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
