"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","AA/AO","75","70","22570","22520"
"In post","2023","16-19","Asian","EO","15","15","[c]","[c]"
"In post","2023","16-19","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Black","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","AA/AO","20","20","[c]","[c]"
"In post","2023","16-19","Mixed","EO","5","5","[c]","[c]"
"In post","2023","16-19","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","475","455","22880","22400"
"In post","2023","16-19","Unknown","EO","55","55","26660","25750"
"In post","2023","16-19","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","60","60","20210","19090"
"In post","2023","16-19","White","AA/AO","575","565","23100","22520"
"In post","2023","16-19","White","EO","90","90","26990","27080"
"In post","2023","16-19","White","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Unknown","45","45","21030","19270"
"In post","2023","20-29","Asian","AA/AO","2095","2010","23410","22520"
"In post","2023","20-29","Asian","EO","2205","2170","28900","28120"
"In post","2023","20-29","Asian","G6/G7","345","345","56440","55130"
"In post","2023","20-29","Asian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","SEO/HEO","2190","2175","36500","35400"
"In post","2023","20-29","Asian","Unknown","240","235","25500","23720"
"In post","2023","20-29","Black","AA/AO","585","570","26000","25480"
"In post","2023","20-29","Black","EO","725","720","29910","29660"
"In post","2023","20-29","Black","G6/G7","95","95","56650","55370"
"In post","2023","20-29","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","SEO/HEO","660","660","36740","35620"
"In post","2023","20-29","Black","Unknown","165","160","27590","27640"
"In post","2023","20-29","Mixed","AA/AO","640","620","25200","23230"
"In post","2023","20-29","Mixed","EO","575","565","28980","28120"
"In post","2023","20-29","Mixed","G6/G7","185","185","56480","55120"
"In post","2023","20-29","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Mixed","SEO/HEO","900","895","36010","35000"
"In post","2023","20-29","Mixed","Unknown","180","175","25880","24570"
"In post","2023","20-29","Other ethnicity","AA/AO","120","120","25600","24070"
"In post","2023","20-29","Other ethnicity","EO","150","145","29210","28420"
"In post","2023","20-29","Other ethnicity","G6/G7","65","65","56280","55120"
"In post","2023","20-29","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Other ethnicity","SEO/HEO","205","200","36170","35400"
"In post","2023","20-29","Other ethnicity","Unknown","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","AA/AO","330","320","25060","22520"
"In post","2023","20-29","Undeclared","EO","275","270","29350","28120"
