"Status","Year","Age","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","North West (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South West (England)","AA","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","London","EO","10","10","28260","28510"
"In post","2023","16-19","Economics","North East (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Economics","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South West (England)","AO","15","15","19540","19460"
"In post","2023","16-19","Finance","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","AO","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","North West (England)","Unknown","[c]","[c]","[c]","[c]"
