"Status","Year","Organisation","Profession_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Southern Scotland","East Ayrshire and North Ayrshire mainland","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","North Yorkshire","York","5","5","[c]","[c]"
"In post","2023","Active Travel England","Planning","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","North Yorkshire","York","15","15","45350","40000"
"In post","2023","Active Travel England","Science and Engineering","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Inner London - West","Westminster","10","10","42200","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Inner London - West","Westminster","35","35","51300","49550"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Northumberland, and Tyne and Wear","Tyneside","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","West Central Scotland","Glasgow City","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Inner London - West","Westminster","10","10","44970","39950"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Inner London - West","Westminster","10","10","39040","38230"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Derbyshire and Nottinghamshire","Nottingham","95","90","30080","29500"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
