"Status","Year","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AA","85","65","23250","22920"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","AO","435","410","28750","25710"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","EO","635","590","31200","29450"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G6","40","40","76710","75740"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","G7","120","115","63330","58850"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","HEO","310","295","38250","36330"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","SEO","285","270","57800","49860"
"In post","2023","Angus and Dundee City","Outside London","AA","585","545","22920","22180"
"In post","2023","Angus and Dundee City","Outside London","AO","560","515","22680","21690"
"In post","2023","Angus and Dundee City","Outside London","EO","875","830","29170","29100"
"In post","2023","Angus and Dundee City","Outside London","G6","40","40","75630","74960"
"In post","2023","Angus and Dundee City","Outside London","G7","75","75","57630","55990"
"In post","2023","Angus and Dundee City","Outside London","HEO","280","270","35240","34730"
"In post","2023","Angus and Dundee City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","SEO","110","105","43700","42860"
"In post","2023","Antrim and Newtownabbey","Outside London","AA","100","95","21550","22130"
"In post","2023","Antrim and Newtownabbey","Outside London","AO","35","35","23260","22970"
"In post","2023","Antrim and Newtownabbey","Outside London","EO","40","40","27980","26480"
"In post","2023","Antrim and Newtownabbey","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","HEO","25","25","34590","32930"
"In post","2023","Antrim and Newtownabbey","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","SEO","10","10","39790","38930"
"In post","2023","Ards and North Down","Outside London","AA","95","90","21740","22130"
"In post","2023","Ards and North Down","Outside London","AO","60","60","23020","22970"
"In post","2023","Ards and North Down","Outside London","EO","25","25","28370","27450"
"In post","2023","Ards and North Down","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","G7","10","5","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","HEO","20","20","34550","33850"
"In post","2023","Ards and North Down","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","SEO","15","10","40990","40090"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","AO","95","85","26010","25610"
"In post","2023","Barking & Dagenham and Havering","London","EO","360","325","32240","32520"
"In post","2023","Barking & Dagenham and Havering","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","G7","10","10","59210","56490"
"In post","2023","Barking & Dagenham and Havering","London","HEO","55","50","38750","39150"
"In post","2023","Barking & Dagenham and Havering","London","SEO","25","25","45050","43760"
"In post","2023","Barking & Dagenham and Havering","London","Unknown","85","80","34730","33820"
"In post","2023","Barnet","London","AA","35","30","23430","23470"
"In post","2023","Barnet","London","AO","190","165","25360","25460"
"In post","2023","Barnet","London","EO","425","400","31000","32090"
