"Status","Year","Disability","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Black","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","International Trade","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","G6/G7","30","30","60110","58820"
"In post","2023","Declared disabled","Black","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicine","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Delivery","AA/AO","415","370","25320","25480"
"In post","2023","Declared disabled","Black","Operational Delivery","EO","555","510","30670","31280"
"In post","2023","Declared disabled","Black","Operational Delivery","G6/G7","20","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Delivery","SEO/HEO","135","130","39070","37620"
"In post","2023","Declared disabled","Black","Operational Delivery","Unknown","305","290","33540","30840"
"In post","2023","Declared disabled","Black","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning Inspectors","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Policy","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Policy","EO","30","30","30350","30070"
"In post","2023","Declared disabled","Black","Policy","G6/G7","35","35","56570","55120"
"In post","2023","Declared disabled","Black","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Policy","SEO/HEO","75","75","39290","39150"
"In post","2023","Declared disabled","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","SEO/HEO","40","40","38960","39150"
"In post","2023","Declared disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","G6/G7","[c]","[c]","[c]","[c]"
