"Status","Year","Disability","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Teaching Regulation Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","Outside London","195","185","38420","37760"
"In post","2023","Declared disabled","Analysis","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Animal and Plant Health Agency","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Building Digital UK","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Central Civil Service Fast Stream","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Central Civil Service Fast Stream","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Crown Commercial Service","Outside London","30","30","39220","39860"
"In post","2023","Declared disabled","Commercial","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Defence Equipment and Support","Outside London","95","90","41190","42620"
"In post","2023","Declared disabled","Commercial","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Defence Science and Technology Laboratory","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
