"Status","Year","Disability","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Human Resources","Department for Education (excl. agencies)","Outside London","90","85","40320","37590"
"In post","2023","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","London","45","45","47760","43490"
"In post","2023","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","160","150","44790","49400"
"In post","2023","Declared non-disabled","Human Resources","Department for International Trade","London","55","55","46280","41790"
"In post","2023","Declared non-disabled","Human Resources","Department for International Trade","Outside London","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","40","40","38460","34500"
"In post","2023","Declared non-disabled","Human Resources","Department for Transport (excl. agencies)","London","50","50","53290","55190"
"In post","2023","Declared non-disabled","Human Resources","Department for Transport (excl. agencies)","Outside London","40","40","41630","39820"
"In post","2023","Declared non-disabled","Human Resources","Department for Work and Pensions (excl. agencies)","London","155","150","41020","39150"
"In post","2023","Declared non-disabled","Human Resources","Department for Work and Pensions (excl. agencies)","Outside London","965","895","35130","34170"
"In post","2023","Declared non-disabled","Human Resources","Department for Work and Pensions (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department of Health and Social Care (excl. agencies)","London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department of Health and Social Care (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Driver and Vehicle Licensing Agency","Outside London","125","120","34620","31800"
"In post","2023","Declared non-disabled","Human Resources","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Driver and Vehicle Standards Agency","Outside London","90","90","37760","39430"
"In post","2023","Declared non-disabled","Human Resources","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Education and Skills Funding Agency","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","FCDO Services","Outside London","30","30","43540","41830"
"In post","2023","Declared non-disabled","Human Resources","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Food Standards Agency","Outside London","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","London","160","155","51380","44450"
"In post","2023","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Government Actuary's Department","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Government Internal Audit Agency","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Government Legal Department","London","45","40","39740","34910"
"In post","2023","Declared non-disabled","Human Resources","Government Legal Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Courts and Tribunals Service","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Courts and Tribunals Service","Outside London","40","35","38300","34540"
"In post","2023","Declared non-disabled","Human Resources","HM Land Registry","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Land Registry","Outside London","60","55","40410","34850"
"In post","2023","Declared non-disabled","Human Resources","HM Prison and Probation Service","London","35","35","58680","55160"
"In post","2023","Declared non-disabled","Human Resources","HM Prison and Probation Service","Outside London","80","80","47980","50350"
"In post","2023","Declared non-disabled","Human Resources","HM Revenue and Customs (excl. agencies)","London","110","105","59220","62770"
"In post","2023","Declared non-disabled","Human Resources","HM Revenue and Customs (excl. agencies)","Outside London","840","790","41040","35000"
"In post","2023","Declared non-disabled","Human Resources","HM Treasury (excl. agencies)","London","45","40","47710","53550"
"In post","2023","Declared non-disabled","Human Resources","HM Treasury (excl. agencies)","Outside London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Health and Safety Executive","Outside London","75","70","43550","40790"
"In post","2023","Declared non-disabled","Human Resources","Home Office","London","205","195","47110","43210"
"In post","2023","Declared non-disabled","Human Resources","Home Office","Outside London","80","75","42160","39190"
"In post","2023","Declared non-disabled","Human Resources","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Institute for Apprenticeships and Technical Education","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Intellectual Property Office","Outside London","50","45","39900","32740"
"In post","2023","Declared non-disabled","Human Resources","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Maritime and Coastguard Agency","Outside London","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Medicines and Healthcare Products Regulatory Agency","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Met Office","Outside London","75","65","39030","37420"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Defence (excl. agencies)","London","160","150","49960","46470"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Defence (excl. agencies)","Outside London","2155","2090","33270","32010"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Defence (excl. agencies)","Overseas","30","30","55780","47130"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Justice (excl. agencies)","London","185","180","48660","43650"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Justice (excl. agencies)","Outside London","535","515","37730","33710"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","National Crime Agency","London","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","National Crime Agency","Outside London","45","45","41520","40210"
"In post","2023","Declared non-disabled","Human Resources","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","National Savings and Investments","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","Outside London","60","55","39650","33130"
"In post","2023","Declared non-disabled","Human Resources","Office of Gas and Electricity Markets","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office of Gas and Electricity Markets","Outside London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office of Qualifications and Examinations Regulation","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Planning Inspectorate","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Registers of Scotland","Outside London","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Scottish Courts and Tribunals Service","Outside London","30","30","38910","38170"
"In post","2023","Declared non-disabled","Human Resources","Scottish Prison Service","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Serious Fraud Office","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Submarine Delivery Agency","Outside London","30","30","41050","39460"
"In post","2023","Declared non-disabled","Human Resources","The Insolvency Service","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","The Insolvency Service","Outside London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","The National Archives","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","UK Export Finance","London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","UK Health Security Agency","London","50","50","43490","32980"
"In post","2023","Declared non-disabled","Human Resources","UK Health Security Agency","Outside London","40","35","43040","42480"
"In post","2023","Declared non-disabled","Human Resources","UK Hydrographic Office","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","UK Space Agency","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","UK Statistics Authority","Outside London","105","95","37580","32630"
"In post","2023","Declared non-disabled","Human Resources","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Valuation Office Agency","London","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Valuation Office Agency","Outside London","65","65","38430","33980"
"In post","2023","Declared non-disabled","Human Resources","Vehicle Certification Agency","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Water Services Regulation Authority","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","FCDO Services","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Food Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Government Internal Audit Agency","London","85","85","54480","53320"
"In post","2023","Declared non-disabled","Internal Audit","Government Internal Audit Agency","Outside London","160","150","50590","48780"
"In post","2023","Declared non-disabled","Internal Audit","Government Internal Audit Agency","Unknown","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","HM Prison and Probation Service","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","HM Prison and Probation Service","Outside London","35","35","50290","53200"
"In post","2023","Declared non-disabled","Internal Audit","HM Revenue and Customs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","HM Revenue and Customs (excl. agencies)","Outside London","35","35","49070","44780"
"In post","2023","Declared non-disabled","Internal Audit","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Maritime and Coastguard Agency","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Ministry of Defence (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Ministry of Defence (excl. agencies)","Outside London","60","60","37300","34470"
"In post","2023","Declared non-disabled","Internal Audit","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","UK Hydrographic Office","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Attorney General's Office","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Cabinet Office (excl. agencies)","London","50","50","83440","81600"
"In post","2023","Declared non-disabled","Legal","Charity Commission","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Charity Commission","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Companies House","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Competition and Markets Authority","London","130","125","71660","73510"
"In post","2023","Declared non-disabled","Legal","Competition and Markets Authority","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Crown Office and Procurator Fiscal Service","Outside London","605","570","62540","58850"
"In post","2023","Declared non-disabled","Legal","Crown Prosecution Service","London","1100","1040","45890","40800"
"In post","2023","Declared non-disabled","Legal","Crown Prosecution Service","Outside London","3455","3190","41520","35000"
"In post","2023","Declared non-disabled","Legal","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Defence Science and Technology Laboratory","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Department for Education (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Department for Education (excl. agencies)","Outside London","45","40","58950","62540"
"In post","2023","Declared non-disabled","Legal","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Department for Work and Pensions (excl. agencies)","Outside London","45","40","30830","28120"
"In post","2023","Declared non-disabled","Legal","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Driver and Vehicle Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","FCDO Services","London","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","FCDO Services","Outside London","40","30","50170","54660"
"In post","2023","Declared non-disabled","Legal","Food Standards Agency","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Food Standards Agency","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","London","55","55","66240","68470"
"In post","2023","Declared non-disabled","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Government Legal Department","London","1670","1555","56320","53390"
"In post","2023","Declared non-disabled","Legal","Government Legal Department","Outside London","175","165","54850","52790"
"In post","2023","Declared non-disabled","Legal","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","HM Courts and Tribunals Service","Outside London","30","30","31640","25960"
"In post","2023","Declared non-disabled","Legal","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","HM Crown Prosecution Service Inspectorate","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","HM Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","HM Land Registry","London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","HM Land Registry","Outside London","140","125","50880","57880"
"In post","2023","Declared non-disabled","Legal","HM Revenue and Customs (excl. agencies)","London","275","265","60750","65230"
"In post","2023","Declared non-disabled","Legal","HM Revenue and Customs (excl. agencies)","Outside London","625","585","40940","35000"
"In post","2023","Declared non-disabled","Legal","Health and Safety Executive","Outside London","30","30","47560","57570"
"In post","2023","Declared non-disabled","Legal","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Intellectual Property Office","Outside London","35","30","51040","44580"
"In post","2023","Declared non-disabled","Legal","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Maritime and Coastguard Agency","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Medicines and Healthcare Products Regulatory Agency","London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Medicines and Healthcare Products Regulatory Agency","Outside London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Met Office","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Ministry of Defence (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Ministry of Justice (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","National Crime Agency","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Office for Standards in Education, Children's Services and Skills","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Office of Gas and Electricity Markets","London","65","65","61670","60000"
"In post","2023","Declared non-disabled","Legal","Office of Gas and Electricity Markets","Outside London","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Office of Qualifications and Examinations Regulation","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Office of the Public Guardian","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Registers of Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Scottish Courts and Tribunals Service","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Serious Fraud Office","London","30","30","59040","54230"
"In post","2023","Declared non-disabled","Legal","The Insolvency Service","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","The Insolvency Service","Outside London","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","UK Export Finance","London","35","35","63890","75990"
"In post","2023","Declared non-disabled","Legal","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","UK Supreme Court","London","35","35","38380","37230"
"In post","2023","Declared non-disabled","Legal","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Water Services Regulation Authority","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Welsh Revenue Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Active Travel England","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Active Travel England","Outside London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Advisory, Conciliation and Arbitration Service","London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Advisory, Conciliation and Arbitration Service","Outside London","265","245","31840","32110"
"In post","2023","Declared non-disabled","No function","Animal and Plant Health Agency","London","65","65","38110","33350"
"In post","2023","Declared non-disabled","No function","Animal and Plant Health Agency","Outside London","2060","1965","31510","29080"
"In post","2023","Declared non-disabled","No function","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Building Digital UK","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Cabinet Office (excl. agencies)","London","1010","995","51340","55790"
"In post","2023","Declared non-disabled","No function","Cabinet Office (excl. agencies)","Outside London","95","95","46020","41050"
"In post","2023","Declared non-disabled","No function","Cabinet Office (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Charity Commission","London","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Charity Commission","Outside London","140","135","33970","30170"
"In post","2023","Declared non-disabled","No function","Companies House","Outside London","355","330","29270","25610"
"In post","2023","Declared non-disabled","No function","Criminal Injuries Compensation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Criminal Injuries Compensation Authority","Outside London","170","160","29960","25830"
"In post","2023","Declared non-disabled","No function","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Crown Commercial Service","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Crown Commercial Service","Outside London","75","70","42680","40620"
"In post","2023","Declared non-disabled","No function","Crown Office and Procurator Fiscal Service","Outside London","1425","1335","30070","28700"
"In post","2023","Declared non-disabled","No function","Defence Electronics and Components Agency","Outside London","190","185","28070","28710"
"In post","2023","Declared non-disabled","No function","Defence Equipment and Support","London","110","105","29770","26630"
"In post","2023","Declared non-disabled","No function","Defence Equipment and Support","Outside London","4300","4145","38830","35810"
"In post","2023","Declared non-disabled","No function","Defence Equipment and Support","Overseas","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","2995","2920","53550","55120"
"In post","2023","Declared non-disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","755","735","44950","38890"
"In post","2023","Declared non-disabled","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","London","890","870","50490","53030"
"In post","2023","Declared non-disabled","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","95","95","40980","35620"
"In post","2023","Declared non-disabled","No function","Department for Education (excl. agencies)","London","770","730","54480","55030"
"In post","2023","Declared non-disabled","No function","Department for Education (excl. agencies)","Outside London","1315","1255","44780","38210"
"In post","2023","Declared non-disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","London","1505","1465","46510","40710"
"In post","2023","Declared non-disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","1255","1205","41940","37300"
"In post","2023","Declared non-disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Department for International Trade","London","990","975","49590","43130"
"In post","2023","Declared non-disabled","No function","Department for International Trade","Outside London","270","260","43540","41750"
"In post","2023","Declared non-disabled","No function","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","London","1050","1025","52000","54630"
"In post","2023","Declared non-disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","605","585","42710","37540"
"In post","2023","Declared non-disabled","No function","Department for Transport (excl. agencies)","London","1125","1090","53310","55190"
"In post","2023","Declared non-disabled","No function","Department for Transport (excl. agencies)","Outside London","320","305","49120","39820"
"In post","2023","Declared non-disabled","No function","Department for Transport (excl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Department for Work and Pensions (excl. agencies)","London","4265","3895","32920","32520"
"In post","2023","Declared non-disabled","No function","Department for Work and Pensions (excl. agencies)","Outside London","41330","36485","27030","28120"
"In post","2023","Declared non-disabled","No function","Department for Work and Pensions (excl. agencies)","Unknown","155","150","28680","28120"
"In post","2023","Declared non-disabled","No function","Department of Health and Social Care (excl. agencies)","London","450","430","55270","54690"
"In post","2023","Declared non-disabled","No function","Department of Health and Social Care (excl. agencies)","Outside London","240","230","49290","50830"
"In post","2023","Declared non-disabled","No function","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Licensing Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Licensing Agency","Outside London","3260","2830","24190","22500"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Standards Agency","London","210","200","32900","31450"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Standards Agency","Outside London","2440","2270","29510","27450"
"In post","2023","Declared non-disabled","No function","Education and Skills Funding Agency","London","50","50","47720","42170"
"In post","2023","Declared non-disabled","No function","Education and Skills Funding Agency","Outside London","200","195","41790","37880"
"In post","2023","Declared non-disabled","No function","Food Standards Agency","London","90","90","44420","41160"
"In post","2023","Declared non-disabled","No function","Food Standards Agency","Outside London","660","630","36690","31500"
"In post","2023","Declared non-disabled","No function","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","London","1020","1000","51510","46080"
"In post","2023","Declared non-disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","30","30","49470","46000"
"In post","2023","Declared non-disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","1165","1160","51900","50850"
"In post","2023","Declared non-disabled","No function","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
