"Status","Year","Ethnicity","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","AO","Heterosexual / straight","205","190","23280","24360"
"In post","2023","Asian","Attorney General's Departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","AO","Unknown","30","25","23580","23650"
"In post","2023","Asian","Attorney General's Departments","EO","Heterosexual / straight","210","200","28260","28170"
"In post","2023","Asian","Attorney General's Departments","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","G6","Heterosexual / straight","75","70","69110","67420"
"In post","2023","Asian","Attorney General's Departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","G7","Heterosexual / straight","395","370","55630","54100"
"In post","2023","Asian","Attorney General's Departments","G7","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","G7","Unknown","45","35","57510","55710"
"In post","2023","Asian","Attorney General's Departments","HEO","Heterosexual / straight","75","75","35600","33810"
"In post","2023","Asian","Attorney General's Departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SEO","Heterosexual / straight","75","75","40180","40540"
"In post","2023","Asian","Attorney General's Departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","EO","Heterosexual / straight","70","65","27660","28370"
"In post","2023","Asian","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","G6","Heterosexual / straight","50","50","69380","66530"
"In post","2023","Asian","Cabinet Office","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","G7","Heterosexual / straight","155","155","58200","56430"
"In post","2023","Asian","Cabinet Office","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","G7","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","HEO","Heterosexual / straight","135","135","33940","33020"
"In post","2023","Asian","Cabinet Office","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","HEO","Unknown","140","140","30300","30130"
"In post","2023","Asian","Cabinet Office","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SEO","Heterosexual / straight","90","85","41260","41870"
"In post","2023","Asian","Cabinet Office","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","HEO","Heterosexual / straight","30","30","35240","35110"
"In post","2023","Asian","Competition and Markets Authority","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SEO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AO","Heterosexual / straight","60","55","23200","22180"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AO","Unknown","20","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","90","85","28300","28720"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","EO","Unknown","15","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G6","Heterosexual / straight","55","55","68620","66790"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G7","Heterosexual / straight","165","165","56170","55120"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","HEO","Heterosexual / straight","205","200","34460","34670"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SEO","Heterosexual / straight","220","220","42450","41360"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G7","Heterosexual / straight","45","45","54930","53230"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","HEO","Heterosexual / straight","55","55","36980","35620"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SCS level","Heterosexual / straight","5","5","[c]","[c]"
