"Status","Year","Disability","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Heterosexual / straight","125","125","54120","45540"
"In post","2023","Declared disabled","Commercial","London","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Unknown","35","35","52680","55570"
"In post","2023","Declared disabled","Commercial","North East (England)","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Heterosexual / straight","90","85","42170","38470"
"In post","2023","Declared disabled","Commercial","North West (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South East (England)","Heterosexual / straight","50","50","46710","41800"
"In post","2023","Declared disabled","Commercial","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South East (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South West (England)","Heterosexual / straight","145","135","45110","42620"
