"Status","Year","Age","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
